region,voix,couleur
Dakar,101003,green
Diourbel,6300,yellow
Fatick,9349,red
Kaffrine,5294,steelblue
Kaolack,22677,darkred
Kedougou,3269,orange
Kolda,13839,darkgrey
Louga,9612,crimson
Matam,3698,blue
Saint-louis,18632,darkmagenta
Sedhiou,14833,cadetblue
Tamba,11258,darkblue
Thies,19737,dimgrey
Ziguinchor,41291,chocolate
