region,voix,couleur
Dakar,18662,green
Diourbel,884,yellow
Fatick,4089,red
Kaffrine,3406,steelblue
Kedougou,324,darkred
Kolda,789,orange
Louga,15617,darkgrey
Matam,582,crimson
Saint-louis,7471,blue
Sedhiou,407,darkmagenta
Tamba,1184,cadetblue
Thies,12102,darkblue
Ziguinchor,556,dimgrey
Kaolack,4343,chocolate
