region,voix,couleur
Dakar,5646,green
Diourbel,1682,yellow
Fatick,673,red
Kaffrine,731,steelblue
Kaolack,1758,darkred
Kedougou,377,orange
Kolda,1042,darkgrey
Louga,2344,crimson
Matam,0,blue
Saint-louis,3160,darkmagenta
Sedhiou,680,cadetblue
Tamba,1074,darkblue
Thies,2312,dimgrey
Ziguinchor,510,chocolate
