region,voix,couleur
Dakar,115612,green
Diourbel,22026,yellow
Fatick,5172,red
Kaffrine,6513,steelblue
Kaolack,18649,darkred
Kedougou,2494,orange
Kolda,6245,darkgrey
Louga,19788,crimson
Matam,2239,blue
Saint-louis,17404,darkmagenta
Sedhiou,3808,cadetblue
Tamba,5401,darkblue
Thies,120054,dimgrey
Ziguinchor,2419,chocolate
